planName,clientType,registrationMode,duration,netSales,netProfit,age,accident
K,Basic,Online,10,37,0,36,0
K,Basic,Online,11,10,0,64,0
K,Basic,Online,279,80,0,36,0
K,Basic,Online,36,16,0,20,0
K,Basic,Online,12,39,0,32,0
K,Basic,Online,18,14,0,36,0
K,Basic,Online,6,25,0,43,0
K,Basic,Online,18,10,0,36,0
K,Basic,Online,2,10,0,36,0
K,Basic,Online,39,68,0,36,0
K,Basic,Online,4,17,0,35,0
K,Basic,Online,38,0,0,36,0
K,Basic,Online,10,23,0,36,0
K,Basic,Online,92,80,0,36,0
K,Basic,Online,22,80,0,24,0
K,Basic,Online,10,10,0,30,0
K,Basic,Online,64,10,0,61,0
K,Basic,Online,7,15,0,36,0
K,Basic,Online,8,0,0,36,0
K,Basic,Online,37,30,0,43,0
K,Basic,Online,2,16,0,36,0
K,Basic,Online,31,58,0,29,0
K,Basic,Online,41,20,0,40,0
K,Basic,Online,6,10,0,29,0
K,Basic,Online,8,17,0,43,0
K,Basic,Online,5,37,0,21,0
K,Basic,Online,126,27,0,36,0
K,Basic,Online,10,51,0,36,0
K,Basic,Online,29,13,0,21,0
A,Basic,Online,50,24,0,36,0
A,Basic,Online,1,20,0,36,0
A,Basic,Online,2,26,0,36,0
A,Basic,Online,1,86,0,36,0
A,Basic,Online,8,28,0,36,0
A,Basic,Online,19,20,0,62,0
A,Basic,Online,24,90,0,36,0
Z,Premium,Online,4,15,6,44,0
W,Premium,Online,55,21.35,5.98,48,0
W,Premium,Online,15,6.5,1.82,48,0
I,Premium,Online,45,26,9.1,31,0
I,Premium,Online,181,30,10.5,48,0
I,Premium,Online,5,22,7.7,29,0
I,Premium,Online,22,18,6.3,66,0
I,Premium,Online,76,35,12.25,57,0
I,Premium,Online,41,44,15.4,37,0
I,Premium,Online,43,22,7.7,34,0
I,Premium,Online,5,22,7.7,41,0
C,Premium,Online,56,75.96,26.59,48,0
C,Premium,Online,3,12.5,4.38,48,0
C,Premium,Online,3,4.99,1.75,48,0
J,Premium,Online,20,47,11.75,30,0
J,Premium,Online,29,27,6.75,30,0
J,Premium,Online,164,69.55,17.39,26,0
J,Premium,Online,23,30.55,7.64,35,0
R,Premium,Online,13,19.5,4.88,34,0
R,Premium,Online,29,31.85,7.96,45,0
N,Premium,Online,23,77.35,19.34,52,0
Q,Basic,Online,23,29.7,17.82,31,0
Q,Basic,Online,29,39.6,23.76,52,0
Q,Basic,Online,5,0,29.7,53,0
Q,Basic,Online,26,148.5,89.1,40,0
Q,Basic,Online,26,29.7,17.82,31,0
Q,Basic,Online,152,9.9,5.94,31,0
Q,Basic,Online,48,59.4,35.64,26,0
Q,Basic,Online,30,59.4,35.64,27,0
Q,Basic,Online,9,49.5,29.7,50,0
Q,Basic,Online,32,49.5,29.7,31,0
Q,Basic,Online,4,19.8,11.88,29,0
Q,Basic,Online,111,89.1,53.46,31,0
Q,Basic,Online,34,19.8,11.88,34,0
Q,Basic,Online,19,39.6,23.76,35,0
Q,Basic,Online,20,148.5,89.1,34,0
Q,Basic,Online,201,0,77.22,23,0
Q,Basic,Online,2,9.9,5.94,44,0
B,Basic,Online,4,20,0,36,0
B,Basic,Online,13,20,0,36,0
B,Basic,Online,39,69,0,36,0
B,Basic,Online,10,20,0,36,0
B,Basic,Online,62,22,0,36,0
B,Basic,Online,4,20,0,53,0
B,Basic,Online,90,42,0,36,0
B,Basic,Online,10,56,0,36,0
B,Basic,Online,13,20,0,43,0
B,Basic,Online,19,20,0,36,0
B,Basic,Online,3,20,0,39,0
B,Basic,Online,18,20,0,45,0
B,Basic,Online,18,20,0,36,0
B,Basic,Online,22,69,0,36,0
B,Basic,Online,6,36,0,36,0
B,Basic,Online,11,20,0,48,0
B,Basic,Online,18,112,0,36,0
B,Basic,Online,12,27,0,36,0
B,Basic,Online,81,32,0,24,0
B,Basic,Online,36,67,0,36,0
B,Basic,Online,28,20,0,36,0
B,Basic,Online,57,53,0,57,0
B,Basic,Online,42,20,0,36,0
B,Basic,Online,91,44,0,29,0
B,Basic,Online,7,20,0,61,0
B,Basic,Online,12,20,0,27,0
B,Basic,Online,49,20,0,27,0
B,Basic,Online,13,20,0,36,0
B,Basic,Online,28,50,0,36,0
B,Basic,Online,124,89,0,25,0
K,Basic,Online,7,16,0,36,0
K,Basic,Online,22,29,0,36,0
K,Basic,Online,1,20,0,47,0
K,Basic,Online,28,27,0,36,0
K,Basic,Online,13,33,0,36,0
K,Basic,Online,118,10,0,35,0
K,Basic,Online,7,18,0,36,0
K,Basic,Online,7,58,0,36,0
K,Basic,Online,52,46,0,36,0
K,Basic,Online,59,16,0,21,0
K,Basic,Online,38,12,0,36,0
K,Basic,Online,18,29,0,36,0
K,Basic,Online,73,69,0,59,0
K,Basic,Online,21,15,0,31,0
K,Basic,Online,25,20,0,36,0
K,Basic,Online,19,19,0,36,0
K,Basic,Online,20,13,0,36,0
K,Basic,Online,33,74,0,36,0
K,Basic,Online,24,10,0,36,0
K,Basic,Online,1,17,0,28,0
K,Basic,Online,12,13,0,36,0
K,Basic,Online,5,10,0,36,0
K,Basic,Online,25,80,0,36,0
K,Basic,Online,12,80,0,36,0
K,Basic,Online,12,34,0,36,0
K,Basic,Online,94,80,0,36,0
K,Basic,Online,13,10,0,36,0
K,Basic,Online,46,80,0,36,0
K,Basic,Online,29,22,0,30,0
K,Basic,Online,57,11,0,40,0
K,Basic,Online,82,80,0,36,0
K,Basic,Online,13,10,0,36,0
K,Basic,Online,12,14,0,36,0
K,Basic,Online,9,13,0,36,0
A,Basic,Online,55,26,0,36,0
A,Basic,Online,2,20,0,36,0
A,Basic,Online,26,20,0,24,0
A,Basic,Online,4,20,0,36,0
A,Basic,Online,25,46,0,36,0
A,Basic,Online,49,20,0,29,0
Z,Premium,Online,4,62,24.8,118,0
Z,Premium,Online,14,15,6,39,0
W,Premium,Online,54,1.98,0.56,48,0
W,Premium,Online,40,3.89,1.09,48,0
W,Premium,Online,11,7.21,2.02,48,0
I,Premium,Online,5,22,7.7,67,0
I,Premium,Online,5,22,7.7,53,0
I,Premium,Online,6,22,7.7,60,0
I,Premium,Online,2,18,6.3,57,0
I,Premium,Online,15,30,10.5,57,0
I,Premium,Online,90,22,7.7,57,0
I,Premium,Online,21,22,7.7,40,0
I,Premium,Online,130,33,11.55,38,0
I,Premium,Online,34,22,7.7,46,0
Z,Premium,Online,49,67,23.45,49,0
Z,Premium,Online,33,92,32.2,72,0
J,Premium,Online,19,17.55,4.39,31,0
J,Premium,Online,4,17.55,4.39,35,0
J,Premium,Online,9,17.55,4.39,26,0
J,Premium,Online,28,17.55,4.39,33,0
J,Premium,Online,18,0,7.47,45,0
J,Premium,Online,18,38.35,9.59,34,0
J,Premium,Online,55,94,23.5,30,0
J,Premium,Online,32,44.85,11.21,27,0
R,Premium,Online,13,62.25,15.56,27,0
R,Premium,Online,13,81.75,20.44,30,0
R,Premium,Online,10,43.55,10.89,45,1
R,Premium,Online,10,43.55,10.89,46,0
R,Premium,Online,34,109,27.25,27,0
E,Premium,Online,388,252.85,63.21,29,0
E,Premium,Online,388,260.63,65.16,30,0
E,Premium,Online,368,252.85,63.21,30,0
Q,Basic,Online,114,69.3,41.58,51,0
Q,Basic,Online,20,39.6,23.76,51,0
Q,Basic,Online,40,128.7,77.22,55,0
Q,Basic,Online,3,29.7,17.82,28,0
Q,Basic,Online,85,108.9,65.34,35,0
Q,Basic,Online,5,0,29.7,54,0
Q,Basic,Online,17,118.8,71.28,32,0
Q,Basic,Online,6,29.7,17.82,31,0
Q,Basic,Online,133,0,65.34,31,0
Q,Basic,Online,5,39.6,23.76,31,0
Q,Basic,Online,5,29.7,17.82,44,0
Q,Basic,Online,5,29.7,17.82,29,0
Q,Basic,Online,45,19.8,11.88,33,0
Q,Basic,Online,8,49.5,29.7,31,0
Q,Basic,Online,103,158.4,95.04,29,0
Q,Basic,Online,12,29.7,17.82,31,0
B,Basic,Online,147,64,0,36,0
B,Basic,Online,32,112,0,36,0
B,Basic,Online,26,20,0,36,0
B,Basic,Online,37,112,0,31,0
B,Basic,Online,32,50,0,25,0
B,Basic,Online,7,23,0,28,0
B,Basic,Online,39,38,0,36,0
B,Basic,Online,27,20,0,36,0
B,Basic,Online,22,20,0,36,0
B,Basic,Online,306,31,0,36,0
B,Basic,Online,11,74,0,36,0
B,Basic,Online,12,37,0,36,0
B,Basic,Online,21,52,0,36,0
B,Basic,Online,56,69,0,36,0
B,Basic,Online,56,69,0,36,0
B,Basic,Online,20,20,0,36,0
B,Basic,Online,41,26,0,36,0
B,Basic,Online,15,30,0,36,0
B,Basic,Online,20,46,0,36,0
B,Basic,Online,9,20,0,36,0
B,Basic,Online,14,20,0,40,0
B,Basic,Online,35,56,0,36,0
B,Basic,Online,2,29,0,36,0
B,Basic,Online,8,20,0,35,0
B,Basic,Online,9,0,0,36,0
B,Basic,Online,8,32,0,36,0
B,Basic,Online,10,23,0,36,0
B,Basic,Online,24,71,0,36,0
B,Basic,Online,4,20,0,36,0
B,Basic,Online,3,20,0,36,0
B,Basic,Online,4,37,0,36,0
B,Basic,Online,3,20,0,25,0
B,Basic,Online,17,26,0,69,0
B,Basic,Online,75,31,0,36,0
B,Basic,Online,9,30,0,36,0
B,Basic,Online,47,37,0,31,0
B,Basic,Online,28,39,0,36,0
B,Basic,Online,83,20,0,39,0
B,Basic,Online,56,27,0,36,0
K,Basic,Online,1,24,0,60,0
K,Basic,Online,73,16,0,36,1
K,Basic,Online,12,10,0,36,0
K,Basic,Online,15,19,0,36,0
K,Basic,Online,12,37,0,36,0
K,Basic,Online,27,70,0,26,0
K,Basic,Online,27,10,0,49,0
K,Basic,Online,41,10,0,22,0
K,Basic,Online,41,10,0,23,0
K,Basic,Online,35,13,0,39,0
K,Basic,Online,8,42,0,55,0
K,Basic,Online,34,33,0,36,0
K,Basic,Online,27,17,0,36,0
K,Basic,Online,54,39,0,36,0
K,Basic,Online,11,18,0,36,0
K,Basic,Online,5,29,0,36,0
K,Basic,Online,40,24,0,28,0
K,Basic,Online,29,43,0,36,0
K,Basic,Online,7,10,0,36,0
K,Basic,Online,28,30,0,36,0
K,Basic,Online,57,10,0,32,0
K,Basic,Online,38,18,0,38,0
K,Basic,Online,53,59,0,36,0
K,Basic,Online,40,16,0,45,0
K,Basic,Online,18,19,0,36,0
K,Basic,Online,32,33,0,36,0
K,Basic,Online,13,21,0,53,0
K,Basic,Online,15,32,0,36,0
K,Basic,Online,11,24,0,36,0
K,Basic,Online,13,16,0,36,0
K,Basic,Online,36,11,0,21,0
K,Basic,Online,26,22,0,54,0
K,Basic,Online,27,0,0,36,0
K,Basic,Online,49,18,0,36,0
K,Basic,Online,33,10,0,36,0
K,Basic,Online,27,10,0,28,0
K,Basic,Online,81,45,0,36,0
K,Basic,Online,27,30,0,20,0
K,Basic,Online,25,45,0,36,0
K,Basic,Online,82,14,0,36,0
K,Basic,Online,70,21,0,36,0
K,Basic,Online,19,10,0,36,0
K,Basic,Online,19,10,0,36,0
A,Basic,Online,14,20,0,36,0
A,Basic,Online,6,20,0,57,0
A,Basic,Online,9,20,0,36,0
A,Basic,Online,52,28,0,36,0
A,Basic,Online,17,39,0,36,0
A,Basic,Online,5,51,0,36,0
A,Basic,Online,49,20,0,36,0
A,Basic,Online,5,20,0,29,0
A,Basic,Online,17,37,0,36,0
Z,Premium,Online,16,50,20,118,0
Z,Premium,Online,75,31,12.4,78,0
Z,Premium,Online,3,15,6,48,0
W,Premium,Online,39,1.48,0.41,48,0
W,Premium,Online,53,73.67,20.65,48,0
W,Premium,Online,40,7.21,2.02,48,0
W,Premium,Online,13,5.09,1.43,48,0
I,Premium,Online,4,18,6.3,29,0
I,Premium,Online,54,26,9.1,40,0
I,Premium,Online,3,18,6.3,33,0
I,Premium,Online,5,18,6.3,40,0
I,Premium,Online,104,35,12.25,38,0
I,Premium,Online,10,22,7.7,42,0
I,Premium,Online,24,35,12.25,53,0
I,Premium,Online,10,22,7.7,45,0
I,Premium,Online,48,50,17.5,53,0
I,Premium,Online,6,18,6.3,49,0
I,Premium,Online,7,26,9.1,47,0
I,Premium,Online,20,26,9.1,45,0
I,Premium,Online,6,26,9.1,47,0
I,Premium,Online,15,22,7.7,49,0
I,Premium,Online,4,18,6.3,55,0
I,Premium,Online,48,26,9.1,32,0
I,Premium,Online,14,22,7.7,70,0
I,Premium,Online,14,33,11.55,34,0
I,Premium,Online,42,63,22.05,48,0
I,Premium,Online,13,22,7.7,68,0
Z,Premium,Online,131,125,43.75,31,0
Z,Premium,Online,36,87,30.45,51,0
Z,Premium,Online,202,149,52.15,38,0
Z,Premium,Online,42,92,32.2,53,0
Z,Premium,Online,11,87,30.45,49,0
Z,Premium,Online,10,45,15.75,50,0
M,Basic,Offline,92,29,9.57,72,0
M,Basic,Offline,92,29,9.57,77,0
M,Basic,Offline,5,29,9.57,118,0
M,Basic,Offline,5,29,9.57,118,0
M,Basic,Offline,5,29,9.57,118,0
M,Basic,Offline,36,29,9.57,63,0
C,Premium,Online,2,7.44,2.6,48,0
C,Premium,Online,2,9.48,3.32,48,0
J,Premium,Online,10,38.35,9.59,71,0
J,Premium,Online,17,38.35,9.59,45,0
J,Premium,Online,32,22.1,5.53,28,0
J,Premium,Online,32,38.35,9.59,26,0
J,Premium,Online,4,17.55,4.39,22,0
J,Premium,Online,7,17.25,4.31,60,0
J,Premium,Online,179,682,170.5,25,0
J,Premium,Online,33,17.25,4.31,30,0
J,Premium,Online,5,17.55,4.39,25,0
J,Premium,Online,31,38.35,9.59,56,0
R,Premium,Online,18,71,17.75,42,0
R,Premium,Online,11,62.25,15.56,33,1
R,Premium,Online,61,25.9,6.47,37,0
R,Premium,Online,5,25.9,6.47,42,0
N,Premium,Online,26,119,29.75,48,0
E,Premium,Online,365,187.85,46.96,32,1
E,Premium,Online,374,252.85,63.21,42,0
E,Premium,Online,386,252.85,63.21,33,0
D,Premium,Online,369,389.35,97.34,42,0
Q,Basic,Online,86,39.6,23.76,43,0
Q,Basic,Online,2,9.9,5.94,67,0
Q,Basic,Online,2,19.8,11.88,30,0
Q,Basic,Online,17,29.7,17.82,52,0
Q,Basic,Online,60,19.8,11.88,31,0
Q,Basic,Online,28,49.5,29.7,31,0
Q,Basic,Online,8,19.8,11.88,69,0
Q,Basic,Online,32,0,89.1,45,0
Q,Basic,Online,26,39.6,23.76,43,0
Q,Basic,Online,100,0,106.92,31,0
Q,Basic,Online,105,39.6,23.76,32,1
Q,Basic,Online,244,49.5,29.7,41,0
Q,Basic,Online,34,59.4,35.64,35,0
B,Basic,Online,56,31,0,32,0
B,Basic,Online,52,34,0,36,0
B,Basic,Online,53,20,0,26,0
B,Basic,Online,39,20,0,36,0
B,Basic,Online,99,33,0,36,0
B,Basic,Online,45,25,0,36,0
B,Basic,Online,9,20,0,51,0
B,Basic,Online,21,20,0,36,0
B,Basic,Online,52,34,0,36,0
B,Basic,Online,52,34,0,36,0
B,Basic,Online,76,38,0,36,0
B,Basic,Online,25,70,0,36,0
B,Basic,Online,46,24,0,36,0
B,Basic,Online,202,76,0,36,0
B,Basic,Online,103,56,0,36,0
B,Basic,Online,11,26,0,36,0
B,Basic,Online,33,21,0,26,0
B,Basic,Online,108,20,0,29,0
B,Basic,Online,19,20,0,50,0
B,Basic,Online,279,107,0,36,0
B,Basic,Online,9,87,0,36,1
B,Basic,Online,13,20,0,65,0
B,Basic,Online,11,20,0,36,0
B,Basic,Online,8,30,0,36,0
B,Basic,Online,16,46,0,36,0
B,Basic,Online,6,26,0,36,0
B,Basic,Online,10,103,0,36,0
B,Basic,Online,14,20,0,39,0
B,Basic,Online,45,0,0,36,0
B,Basic,Online,277,21,0,36,0
B,Basic,Online,45,33,0,36,0
B,Basic,Online,107,20,0,38,0
B,Basic,Online,10,68,0,36,0
B,Basic,Online,61,25,0,36,0
B,Basic,Online,83,28,0,36,0
B,Basic,Online,61,25,0,36,0
B,Basic,Online,47,68,0,36,0
B,Basic,Online,34,62,0,36,0
B,Basic,Online,25,98,0,38,0
B,Basic,Online,7,112,0,36,0
B,Basic,Online,7,20,0,36,0
K,Basic,Online,18,31,0,36,0
K,Basic,Online,38,10,0,42,0
K,Basic,Online,12,21,0,51,0
K,Basic,Online,6,13,0,28,0
K,Basic,Online,14,27,0,36,0
K,Basic,Online,41,12,0,36,0
K,Basic,Online,56,21,0,36,0
K,Basic,Online,7,19,0,36,0
K,Basic,Online,22,11,0,45,0
K,Basic,Online,24,60,0,36,0
K,Basic,Online,59,16,0,36,0
K,Basic,Online,12,20,0,45,0
K,Basic,Online,76,22,0,36,0
K,Basic,Online,12,15,0,36,0
K,Basic,Online,45,30,0,36,0
K,Basic,Online,83,23,0,36,0
K,Basic,Online,10,45,0,36,0
K,Basic,Online,28,25,0,36,0
K,Basic,Online,276,80,0,36,0
K,Basic,Online,27,46,0,49,0
K,Basic,Online,19,80,0,36,0
K,Basic,Online,11,32,0,36,0
K,Basic,Online,12,10,0,36,0
K,Basic,Online,4,10,0,36,0
K,Basic,Online,7,10,0,24,0
K,Basic,Online,12,33,0,36,0
K,Basic,Online,54,10,0,22,0
K,Basic,Online,2,14,0,36,0
K,Basic,Online,3,49,0,21,0
K,Basic,Online,47,31,0,36,0
K,Basic,Online,9,15,0,36,0
K,Basic,Online,277,80,0,29,0
K,Basic,Online,15,80,0,36,0
K,Basic,Online,26,19,0,29,0
K,Basic,Online,40,43,0,36,0
K,Basic,Online,4,10,0,36,0
K,Basic,Online,39,80,0,36,0
K,Basic,Online,5,10,0,36,0
K,Basic,Online,81,36,0,36,0
K,Basic,Online,6,16,0,45,0
K,Basic,Online,8,10,0,53,0
K,Basic,Online,5,19,0,36,0
K,Basic,Online,122,13,0,36,0
K,Basic,Online,31,14,0,36,0
K,Basic,Online,148,40,0,36,0
K,Basic,Online,7,10,0,58,0
K,Basic,Online,123,49,0,36,0
K,Basic,Online,28,72,0,36,0
K,Basic,Online,32,55,0,36,0
K,Basic,Online,64,38,0,36,0
K,Basic,Online,18,0,0,36,0
K,Basic,Online,17,40,0,35,0
K,Basic,Online,33,32,0,36,0
K,Basic,Online,7,41,0,36,0
K,Basic,Online,22,30,0,36,0
K,Basic,Online,17,27,0,36,0
K,Basic,Online,41,40,0,26,0
K,Basic,Online,278,62,0,32,0
K,Basic,Online,25,16,0,36,0
K,Basic,Online,26,30,0,36,0
K,Basic,Online,18,17,0,36,0
A,Basic,Online,204,32,0,36,0
A,Basic,Online,112,23,0,36,0
A,Basic,Online,2,56,0,36,0
A,Basic,Online,10,20,0,55,0
A,Basic,Online,7,20,0,36,0
A,Basic,Online,8,55,0,49,0
A,Basic,Online,27,20,0,36,0
A,Basic,Online,54,20,0,36,0
A,Basic,Online,12,47,0,36,0
A,Basic,Online,13,20,0,39,0
A,Basic,Online,31,20,0,45,0
Z,Premium,Online,10,31,12.4,118,0
Z,Premium,Online,18,0,28.8,118,0
Z,Premium,Online,7,62,24.8,118,0
Z,Premium,Online,12,60,24,118,0
Z,Premium,Online,15,50,20,118,0
Z,Basic,Online,40,28,10.64,48,0
Z,Basic,Online,38,75,28.5,48,0
Z,Basic,Online,111,95,36.1,48,0
Z,Premium,Online,4,15,6,52,0
Z,Premium,Online,5,15,6,38,0
Z,Premium,Online,3,15,6,39,0
Z,Premium,Online,15,15,6,45,0
W,Premium,Online,78,8.49,2.38,48,0
I,Premium,Online,97,44,15.4,20,0
I,Premium,Online,13,33,11.55,63,0
I,Premium,Online,13,30,10.5,60,0
I,Premium,Online,8,26,9.1,57,0
I,Premium,Online,8,18,6.3,25,0
I,Premium,Online,7,22,7.7,35,0
I,Premium,Online,118,22,7.7,34,0
I,Premium,Online,39,26,9.1,68,0
I,Premium,Online,12,26,9.1,43,0
I,Premium,Online,73,26,9.1,41,0
I,Premium,Online,22,30,10.5,60,0
Z,Premium,Online,142,58,20.3,24,0
Z,Premium,Online,4,36,12.6,47,0
Z,Premium,Online,18,121,42.35,35,0
Z,Premium,Online,15,69,24.15,44,0
Z,Premium,Online,15,69,24.15,41,0
C,Premium,Online,351,29.19,10.22,48,0
J,Premium,Online,26,23.8,5.95,34,0
J,Premium,Online,30,35.25,8.81,27,0
J,Premium,Online,100,202,50.5,34,0
J,Premium,Online,7,23.4,5.85,30,0
J,Premium,Online,26,71,17.75,26,0
J,Premium,Online,8,17.55,4.39,29,0
R,Premium,Online,16,74.25,18.56,27,1
R,Premium,Online,12,24.05,6.01,38,0
R,Premium,Online,9,62.25,15.56,27,0
R,Premium,Online,23,108,27,29,0
R,Premium,Online,26,127,31.75,30,0
D,Premium,Online,368,389.35,97.34,50,0
Q,Basic,Online,163,19.8,11.88,29,0
Q,Basic,Online,5,29.7,17.82,54,0
Q,Basic,Online,7,9.9,5.94,43,0
Q,Basic,Online,12,39.6,23.76,38,0
Q,Basic,Online,8,19.8,11.88,52,0
Q,Basic,Online,197,217.8,130.68,45,0
Q,Basic,Online,53,128.7,77.22,43,0
Q,Basic,Online,31,99,59.4,46,0
Q,Basic,Online,13,49.5,29.7,53,0
Q,Basic,Online,95,29.7,17.82,60,0
Q,Basic,Online,8,29.7,17.82,35,0
Q,Basic,Online,125,49.5,29.7,31,0
Q,Basic,Online,8,29.7,17.82,57,0
Q,Basic,Online,5,19.8,11.88,55,0
Q,Basic,Online,9,89.1,53.46,45,0
Q,Basic,Online,26,19.8,11.88,36,0
B,Basic,Online,51,20,0,54,0
B,Basic,Online,7,50,0,36,0
B,Basic,Online,42,37,0,36,0
B,Basic,Online,11,32,0,36,0
B,Basic,Online,12,36,0,36,0
B,Basic,Online,16,112,0,36,0
B,Basic,Online,16,20,0,36,0
B,Basic,Online,53,20,0,32,0
B,Basic,Online,73,21,0,36,0
B,Basic,Online,73,22,0,50,0
B,Basic,Online,56,145,0,36,1
B,Basic,Online,5,74,0,36,0
B,Basic,Online,18,20,0,36,0
B,Basic,Online,10,62,0,36,0
B,Basic,Online,8,25,0,36,0
B,Basic,Online,17,112,0,58,0
B,Basic,Online,7,86,0,36,0
B,Basic,Online,63,75,0,36,0
B,Basic,Online,13,60,0,36,0
B,Basic,Online,18,20,0,39,0
B,Basic,Online,13,35,0,36,0
B,Basic,Online,24,39,0,36,0
B,Basic,Online,8,20,0,36,0
B,Basic,Online,50,75,0,36,0
B,Basic,Online,9,25,0,65,0
B,Basic,Online,69,28,0,36,0
B,Basic,Online,34,94,0,36,0
B,Basic,Online,35,37,0,36,0
B,Basic,Online,46,34,0,36,0
B,Basic,Online,44,34,0,36,0
B,Basic,Online,6,27,0,22,0
B,Basic,Online,8,20,0,36,0
B,Basic,Online,10,0,0,36,0
B,Basic,Online,44,24,0,37,0
B,Basic,Online,15,20,0,36,0
B,Basic,Online,4,20,0,43,0
B,Basic,Online,22,67,0,36,0
K,Basic,Online,5,10,0,36,0
K,Basic,Online,71,62,0,36,0
K,Basic,Online,20,69,0,36,0
K,Basic,Online,50,0,0,36,0
K,Basic,Online,19,24,0,36,0
K,Basic,Online,7,10,0,36,0
K,Basic,Online,21,11,0,26,0
K,Basic,Online,13,32,0,36,0
K,Basic,Online,7,10,0,28,0
K,Basic,Online,12,10,0,36,0
K,Basic,Online,21,11,0,38,0
K,Basic,Online,34,15,0,36,0
K,Basic,Online,5,10,0,52,0
K,Basic,Online,25,80,0,32,0
K,Basic,Online,1,10,0,36,0
K,Basic,Online,34,27,0,36,0
K,Basic,Online,18,80,0,67,0
K,Basic,Online,82,24,0,37,0
K,Basic,Online,27,25,0,33,0
K,Basic,Online,51,54,0,36,0
K,Basic,Online,31,13,0,30,0
K,Basic,Online,23,10,0,33,0
K,Basic,Online,31,16,0,36,0
K,Basic,Online,1,10,0,26,0
K,Basic,Online,26,16,0,43,0
K,Basic,Online,26,21,0,25,0
K,Basic,Online,13,10,0,51,0
K,Basic,Online,90,10,0,28,0
K,Basic,Online,45,19,0,36,0
K,Basic,Online,3,19,0,61,0
K,Basic,Online,59,16,0,36,0
K,Basic,Online,107,45,0,36,0
K,Basic,Online,7,13,0,36,0
K,Basic,Online,1,10,0,36,0
K,Basic,Online,4,13,0,45,0
K,Basic,Online,18,17,0,36,0
K,Basic,Online,59,52,0,36,0
K,Basic,Online,7,10,0,61,0
K,Basic,Online,9,10,0,36,0
K,Basic,Online,2,32,0,36,0
K,Basic,Online,31,15,0,36,0
K,Basic,Online,18,12,0,36,0
K,Basic,Online,277,80,0,36,0
K,Basic,Online,20,11,0,36,0
K,Basic,Online,277,80,0,36,0
K,Basic,Online,72,19,0,36,0
K,Basic,Online,12,19,0,59,0
K,Basic,Online,10,13,0,36,0
K,Basic,Online,50,10,0,36,0
K,Basic,Online,8,59,0,23,0
K,Basic,Online,39,35,0,36,0
K,Basic,Online,23,68,0,26,0
K,Basic,Online,27,39,0,27,0
K,Basic,Online,4,12,0,28,0
K,Basic,Online,20,10,0,36,0
K,Basic,Online,6,13,0,36,0
K,Basic,Online,53,61,0,36,0
K,Basic,Online,4,19,0,53,0
